SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM15;Seagrass;Posidonia oceanica;27.31217774;28.91889506;37.73333333;0.636650315;4.260552986;1.8703604;28.1155364;1.621952105;0.019313647
Santa Maria;SM15;Seagrass;Posidonia oceanica;28.91889506;30.49659985;42;0.667778472;3.321250122;2.0091587;29.70774746;1.592211055;0.021362265
Santa Maria;SM15;Seagrass;Posidonia oceanica;30.49659985;32.04667945;46.76666667;0.656371122;3.827037773;1.4967582;31.27163965;1.563892195;0.015364128
Santa Maria;SM15;Seagrass;Posidonia oceanica;32.04667945;33.57045487;53.43333333;0.634403036;4.110135674;1.7297122;32.80856716;1.53692751;0.016865238
Santa Maria;SM15;Seagrass;Posidonia oceanica;33.57045487;35.06918393;58.45;0.627760663;3.632754342;1.3876928;34.3198194;1.51125224;0.013165107
Santa Maria;SM15;Seagrass;Posidonia oceanica;36.54406434;37.9962365;74.1;0.663725807;2.907662083;1.3424288;37.27015042;2.95033102;0.026287586
Santa Maria;SM15;Seagrass;Posidonia oceanica;39.4267863;40.83674769;90.63333333;0.769138818;3.058314485;1.3484456;40.131767;2.861616575;0.029679023
Santa Maria;SM15;Seagrass;Posidonia oceanica;42.2271052;43.59879624;127.8;0.832788796;3.047751415;1.3788727;42.91295072;2.781183725;0.031936603
Santa Maria;SM15;Seagrass;Posidonia oceanica;44.95271345;46.28970673;160.65;1.016704255;3.105184633;1.3037235;45.62121009;2.70825937;0.035898011
Santa Maria;SM15;Seagrass;Posidonia oceanica;47.61058537;48.91611996;198.1;0.805527577;3.016481808;1.2364445;48.26335267;2.642142575;0.02631548
Santa Maria;SM15;Seagrass;Posidonia oceanica;50.20704423;51.48405683;222.45;0.784786911;3.44489155;1.2940051;50.84555053;2.582197865;0.026222691
Santa Maria;SM15;Seagrass;Posidonia oceanica;52.747823;53.99897617;256.3;1.012679;2.662804821;1.1224635;53.37339959;2.527849055;0.028733939
Santa Maria;SM15;Seagrass;Posidonia oceanica;55.23811948;56.46582723;281.85;1.296763852;3.176188574;1.2111321;55.85197336;2.47857377;0.038927298
Santa Maria;SM15;Seagrass;Posidonia oceanica;57.68264625;58.88909723;337.1;0.846918711;0.76;1.4483447;58.28587174;2.433898385;0.029854933
Santa Maria;SM15;Seagrass;Posidonia oceanica;60.08567596;61.27285451;385.9;0.808853031;3.405000486;1.3275855;60.67926524;2.393393495;0.025700775
Santa Maria;SM15;Seagrass;Posidonia oceanica;62.4510824;63.62078763;495;0.818220017;2.790029747;1.3698473;63.03593502;2.35666978;0.026414415
Santa Maria;SM15;Seagrass;Posidonia oceanica;64.78237775;65.93624081;604.9;0.932401932;3.946179335;1.6361401;65.35930928;2.323374265;0.035444008
Santa Maria;SM15;Seagrass;Posidonia oceanica;67.08274631;68.22224609;700.7;0.758211326;3.064861012;1.3465294;67.6524962;2.29318692;0.02341238
